OBJECTID,class,POINT_X,POINT_Y,b1_PCA_202,b2_PCA_202,b3_PCA_202,b4_PCA_202,b5_PCA_202,b6_PCA_202,b7_PCA_202,b8_PCA_202,b9_PCA_202,b10_PCA_20,cell concentration (cells/mL)
BB 20210702 1,snow algae,-121.6928012,48.85277893,-75148.67188,-8643.136719,-2851.848389,380.5749817,-311.2528381,-1542.580444,2121.046387,975.7149658,908.510498,175.8714142,1463556.013
BB 20210702 2,snow algae,-121.6928002,48.85275255,-68509.23438,-9292.672852,-3956.730957,1147.4729,-1296.049072,-1142.00293,1478.763794,577.0285034,1571.77417,158.6815796,470214.3873
BB 20210702 3,snow algae,-121.6928327,48.85275905,-52416.14063,-6275.479492,-5605.365723,549.0057373,-373.6190796,-300.9489441,827.4561157,-237.6156158,544.0151978,380.2807617,155216.2492
BB 20210702 4,snow algae,-121.6926478,48.85275148,-69715.34375,-12532.4707,-4282.586426,-323.8471985,-1660.03894,-1222.603638,2314.895752,1887.009033,1255.018921,-232.0716553,418649.704
BB 20210702 5,snow algae,-121.6927018,48.85274371,-61768.64453,-9005.521484,-4053.046387,-404.4649658,-194.1872253,-1750.688965,2375.177002,418.5279236,772.8374023,57.735363,583756.2201
BB 20210702 6,snow algae,-121.6927116,48.85277279,-56705.91797,-9318.311523,-4896.573731,295.9399109,-329.0557251,-989.2918091,2088.20166,906.3936157,1417.716553,456.3674316,147246.1257
BB 20210702 7,snow algae,-121.6926616,48.85274636,-61530.48047,-8085.901856,-3941.617432,-18.9442062,-1137.814331,-1064.091431,2168.002197,431.4390259,928.6817017,-251.8214569,441663.2001
BB 20210702 8,snow algae,-121.6927847,48.85260387,-80867.10156,-8816.414063,-3452.770508,221.4177856,88.8315964,-93.8931961,814.5265503,300.441864,724.9526978,-234.4642792,346239.7243
BB 20210702 9,snow algae,-121.6928992,48.85270409,-52219.24609,-4791.501465,-4820.669434,384.1043091,-1146.65271,-1061.291992,599.6958008,662.2295532,607.9697266,-245.4494934,50104.48351
1,snow,-121.6922674,48.85372736,-40248.84766,3247.398438,-1069.011963,103.5619507,-299.0020142,88.3307648,-779.4095459,79.699028,-234.1958466,-185.233139,
2,snow,-121.6964413,48.85417238,-43128.57422,2601.121338,47.2687912,-147.8607635,-162.7297211,-720.5703125,214.705307,275.4033203,-361.0161438,-343.4144897,
3,snow,-121.6940634,48.85293933,-28857.46484,3868.224365,441.8668823,768.9555054,-822.9163208,-756.4801636,641.0769653,-83.9962311,598.9715576,771.4887695,
4,snow,-121.6935732,48.85278923,-28050.21484,3408.616699,-232.3974457,884.4935303,-1124.509155,246.1774292,-235.1764679,168.7427673,197.3088531,-602.3646851,
5,snow,-121.6928689,48.85369109,-39840.35156,3517.682373,-563.2924194,392.6844482,-185.189682,-320.1477966,171.4407043,-135.7428284,-614.482605,-18.9485207,
6,vegetation,-121.6939406,48.85456179,-119204.7813,-8199.223633,260.8959656,292.4161682,341.2549133,-11.076951,182.4889069,65.1393509,69.8769684,113.936264,
7,snow,-121.6957532,48.85370442,-39666.32813,3364.967529,563.8008423,258.1083374,-610.9592285,-665.7473755,108.4828491,204.8707123,165.6056366,300.3340454,
8,snow,-121.6972209,48.85351265,-41727.73828,2609.652344,408.5571594,520.0668335,-1053.633667,59.0924873,-232.1712952,645.6142578,1.7350367,-384.1855469,
9,snow,-121.6967848,48.85354537,-42337.45313,3564.105957,-342.0357971,213.068985,328.7017517,-25.0309715,230.9202881,-24.7138386,-653.2994995,-131.4634399,
10,snow,-121.6929913,48.85334227,-31562.49414,5375.883301,-377.4223022,1014.025818,-499.0585938,443.610199,157.864212,-164.8786316,-63.5226631,-166.1484528,
11,snow,-121.6921182,48.85243043,-26962.47656,4584.833008,-162.2434082,144.80867,-89.449646,-535.0261841,-377.3331604,664.7034302,185.0807648,362.3460999,
12,snow,-121.6925732,48.85424061,-42244.93359,3757.12915,-232.9463348,-310.9136047,213.1091003,119.1005859,377.2315979,-161.368454,-664.2494507,245.9324188,
13,snow,-121.6950526,48.853904,-41710.80469,3427.845215,740.0321045,212.6650238,-559.8278809,152.6512451,-456.4386292,121.4600296,185.9384613,285.2175903,
14,snow,-121.694322,48.85431823,-49962.91016,1878.312988,-712.5328979,595.0263062,-47.954937,-270.4393311,465.9490967,163.3842316,-845.9171143,-4.1424131,
15,snow,-121.6989679,48.8542019,-59443.13281,-1627.67273,-1228.173462,-303.2643738,98.4210892,-743.0578003,-231.549118,-449.217926,164.9157867,298.7182617,
16,vegetation,-121.689571,48.8541838,-122920.1797,-6729.202148,721.0147095,410.4483948,757.5317383,124.9055481,157.5014954,217.4232178,35.9210777,34.1997414,
17,snow,-121.6951512,48.85288253,-37280.83984,7197.086914,1577.500366,522.8336182,361.2504578,606.1165771,-678.253479,-364.1790466,-361.1328735,159.3176727,
18,snow,-121.6985983,48.85362152,-44698.65625,3612.147461,925.1066284,699.8180542,-999.1524658,845.8547974,110.2104111,-421.3783569,-771.1242676,50.8866386,
