OBJECTID,CID,class,POINT_X,POINT_Y,b1_PCA_202,b2_PCA_202,b3_PCA_202,b4_PCA_202,b5_PCA_202,b6_PCA_202,b7_PCA_202,b8_PCA_202,b9_PCA_202,b10_PCA_20
BB 20210730 1,,snow algae,-121.6955925,48.85366985,26840.52148,-2158.638428,-1308.145142,1210.020142,590.3015137,-472.2539368,649.7674561,-468.6954041,-893.9038086,268.1187134
BB 20210730 2,,snow algae,-121.6956406,48.85367183,12317.0127,-3205.807617,-1072.055664,2359.652832,151.2982025,-553.2700195,211.1196899,-763.5671387,-1000.91095,-1144.288086
BB 20210730 5,,snow algae,-121.695576,48.85362681,26354.11719,-1650.76001,-2253.70874,1249.900269,1260.848633,-779.6351318,1739.336914,131.0555573,-955.5422974,-606.2645874
BB 20210730 3,,snow algae,-121.6958064,48.85395831,29438.79102,-1940.11145,-829.7627563,1786.642212,-697.4940796,-621.9639282,872.3130493,162.1294556,-1023.674988,-491.6823425
BB 20210730 4,,snow algae,-121.6960739,48.85370903,18107.90625,-1509.571289,-1444.177612,2174.706543,377.8504333,-465.8547058,45.0692444,-420.7645264,-116.5636826,-491.339447
BB 20210730 6,,snow algae,-121.6927049,48.85275786,38682.98828,5358.950684,-4730.645996,6342.513672,1592.029663,-779.0192871,1465.551636,-276.6761169,-1775.490356,-568.170105
BB 20210730 7,,snow algae,-121.6926419,48.85276259,42200.15234,4979.244141,-4454.084961,5180.955566,1554.019898,-741.4740601,1484.641724,-969.4136963,-1672.779785,-1082.821045
BB 20210730 8,,snow algae,-121.6926549,48.85275103,29809.31055,697.5898438,-3024.817139,4815.364746,1686.664307,-521.7091064,1824.663818,-491.7724915,-1915.128784,-147.9487457
BB 20210730 9,,snow algae,-121.6926475,48.85277755,25890.02539,-999.3872681,-2188.974121,3442.303223,1181.165894,684.3253174,1297.778687,-65.640564,-1029.672974,-663.9840698
BB 20210730 10,,snow algae,-121.6926945,48.8527789,27918.64063,-1430.714478,-2278.616699,3082.874512,609.2891235,-372.3837891,663.1490479,-307.2727356,-1338.713501,-835.2077637
1,1,water,-121.6907371,48.85398586,87754.17188,-2792.867432,-542.7385864,-784.0493164,105.0711212,-58.6735802,-214.3677979,-40.3592491,19.7952595,33.2335358
2,1,vegetation,-121.6954954,48.85458377,63898.60156,4548.525391,-2050.128906,1773.800293,-66.4058685,271.4501648,412.3574219,-178.4213562,-36.3121986,2.1076002
