sample,broadband albedo,wavelength,albedo,Fraction of incident irradiance within band,cell concentration,class
BB_070221_1,0.44421,0.205,0.359524,0,1393862.87,snicar
BB_070221_1,0.44421,0.215,0.352001,0,1393862.87,snicar
BB_070221_1,0.44421,0.225,0.345042,0,1393862.87,snicar
BB_070221_1,0.44421,0.235,0.338561,0,1393862.87,snicar
BB_070221_1,0.44421,0.245,0.332545,0,1393862.87,snicar
BB_070221_1,0.44421,0.255,0.326949,0,1393862.87,snicar
BB_070221_1,0.44421,0.265,0.321746,0,1393862.87,snicar
BB_070221_1,0.44421,0.275,0.316848,0,1393862.87,snicar
BB_070221_1,0.44421,0.285,0.312272,0,1393862.87,snicar
BB_070221_1,0.44421,0.295,0.307979,0.000009,1393862.87,snicar
BB_070221_1,0.44421,0.305,0.303941,0.000647,1393862.87,snicar
BB_070221_1,0.44421,0.315,0.300143,0.003401,1393862.87,snicar
BB_070221_1,0.44421,0.325,0.296549,0.00712,1393862.87,snicar
BB_070221_1,0.44421,0.335,0.293166,0.009174,1393862.87,snicar
BB_070221_1,0.44421,0.345,0.28997,0.008682,1393862.87,snicar
BB_070221_1,0.44421,0.355,0.27876,0.009881,1393862.87,snicar
BB_070221_1,0.44421,0.365,0.262406,0.010415,1393862.87,snicar
BB_070221_1,0.44421,0.375,0.251575,0.0102,1393862.87,snicar
BB_070221_1,0.44421,0.385,0.245146,0.010143,1393862.87,snicar
BB_070221_1,0.44421,0.395,0.240247,0.012588,1393862.87,snicar
BB_070221_1,0.44421,0.405,0.236416,0.015893,1393862.87,snicar
BB_070221_1,0.44421,0.415,0.232694,0.016084,1393862.87,snicar
BB_070221_1,0.44421,0.425,0.230812,0.015245,1393862.87,snicar
BB_070221_1,0.44421,0.435,0.229584,0.01506,1393862.87,snicar
BB_070221_1,0.44421,0.445,0.229118,0.017869,1393862.87,snicar
BB_070221_1,0.44421,0.455,0.228978,0.019012,1393862.87,snicar
BB_070221_1,0.44421,0.465,0.228727,0.018616,1393862.87,snicar
BB_070221_1,0.44421,0.475,0.228606,0.018876,1393862.87,snicar
BB_070221_1,0.44421,0.485,0.228508,0.018035,1393862.87,snicar
BB_070221_1,0.44421,0.495,0.22839,0.017927,1393862.87,snicar
BB_070221_1,0.44421,0.505,0.228229,0.017297,1393862.87,snicar
BB_070221_1,0.44421,0.515,0.228066,0.016511,1393862.87,snicar
BB_070221_1,0.44421,0.525,0.227934,0.01657,1393862.87,snicar
BB_070221_1,0.44421,0.535,0.228612,0.016411,1393862.87,snicar
BB_070221_1,0.44421,0.545,0.233093,0.016239,1393862.87,snicar
BB_070221_1,0.44421,0.555,0.247888,0.016035,1393862.87,snicar
BB_070221_1,0.44421,0.565,0.279636,0.01527,1393862.87,snicar
BB_070221_1,0.44421,0.575,0.320472,0.015188,1393862.87,snicar
