OBJECTID,CID,class,cell concentration (cells/mL),POINT_X,POINT_Y,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,,b3 ref,b5 ref,sa index
,BB 070221 1,snow algae,1393862.87,-121.6928012,48.85277893,14563,15308,14464,15174,17883,16530,20044,19868,19685,19056,,0.44140625,0.54574585,0.852474417
,BB 070221 2,snow algae,447823.226,-121.6928002,48.85275255,16003,16321,17603,16264,20342,18700,22568,22127,22400,21227,,0.537200928,0.620788574,0.906822338
,BB 070221 3,snow algae,147824.9992,-121.6928327,48.85275905,21130,21071,23303,22848,25917,25997,27416,26427,26354,24104,,0.711151123,0.790924072,0.93608751
,BB 070221 4,snow algae,398714.0038,-121.6926478,48.85275148,14190,15100,15158,16296,20173,17204,22448,22848,23469,22753,,0.462585449,0.615631104,0.790793635
,BB 070221 5,snow algae,555958.3049,-121.6927018,48.85274371,17961,19103,18126,19461,22026,21606,24455,24819,24294,23031,,0.553161621,0.672180176,0.861710706
,BB 070221 6,snow algae,140234.4054,-121.6927116,48.85277279,19395,19621,20272,20699,24299,22949,26789,26453,25568,24834,,0.618652344,0.741546631,0.871186469
,BB 070221 7,snow algae,420631.6191,-121.6926616,48.85274636,18394,18987,19253,19678,22435,21194,24187,24555,24648,22348,,0.587554932,0.684661865,0.897240027
,BB 070221 8,snow algae,329752.1184,-121.6927847,48.85260387,12325,12211,13608,13845,16332,15705,17339,17925,17594,17610,,0.415283203,0.498413086,0.87997061
,BB 070221 9,snow algae,47252.29842,-121.6928992,48.85270409,21215,22706,23766,23206,26579,25132,26983,25877,26464,23326,,0.725280762,0.811126709,0.930540652
1,1,snow,,-121.6922674,48.85372736,28371,29845,30661,30212,29675,29170,28071,26761,27049,23582,,0.935699463,0.905609131,1.070454591
2,1,snow,,-121.6964413,48.85417238,27932,29786,28676,29153,28194,27604,27030,26243,26476,23162,,0.87512207,0.860412598,1.054871249
3,1,snow,,-121.6940634,48.85293933,33359,34585,34277,33124,32065,31522,32531,30642,30543,26777,,1.046051025,0.978546143,1.105693435
4,1,snow,,-121.6935732,48.85278923,33130,33823,34890,33437,33549,31992,31673,30738,31373,27363,,1.064758301,1.023834229,1.075421622
5,1,snow,,-121.6928689,48.85369109,29379,30403,30184,30196,29358,29251,28354,26862,27335,23364,,0.921142578,0.895935059,1.065440425
6,1,other,,-121.6939406,48.85456179,1841,1799,2256,2660,2585,2677,3803,4371,4940,6342,,0.068847656,0.078887939,1.080324952
7,1,snow,,-121.6957532,48.85370442,29447,31188,30627,30149,28901,28209,28511,27043,27251,23907,,0.934661865,0.881988525,1.097922563
8,1,snow,,-121.6972209,48.85351265,28633,29750,30119,29426,28953,27178,27384,26286,27163,23798,,0.919158936,0.883575439,1.078054088
9,1,snow,,-121.6967848,48.85354537,28800,29559,29215,29741,28615,28500,27291,26179,26153,22734,,0.891571045,0.873260498,1.058564389
10,1,snow,,-121.6929913,48.85334227,32906,33056,34006,32963,32379,31538,30716,29265,29326,24774,,1.037780762,0.988128662,1.0864338
11,1,snow,,-121.6921182,48.85243043,33237,35288,34856,34600,33693,32696,32668,30721,30385,27307,,1.063720703,1.02822876,1.0697961
