Sample,Date,Long,Lat,Elevation,ast,lut,chlb,chla,bc,ast.chla,lut.chla,chlb.chla,bc.chla,index_b3b5
BB_20210702_1a,7/2/2021,-121.6928012,48.85277893,1278.05,11.6384,114.2142,15.2398,52.1849,13.96169333,0.223022369,2.188644608,0.292034669,0.267542782,0.9112656
BB_20210702_2a,7/2/2021,-121.6928002,48.85275255,1278.517,0,23.7597,8.2525,24.2942,8.516413333,0,0.977998864,0.339690132,0.350553356,0.9068223
BB_20210702_3a,7/2/2021,-121.6928327,48.85275905,1278.829,33.7329,26.9352,21.9108,45.3178,18.59768222,0.744363142,0.59436248,0.483492138,0.410383607,0.9360874
BB_20210702_4a,7/2/2021,-121.6926478,48.85275148,1278.813,55.759,85.6208,76.1659,188.7042,91.95394,0.295483619,0.45373023,0.403625886,0.487291433,0.7907936
BB_20210702_5a,7/2/2021,-121.6927018,48.85274371,1278.78,43.324,81.4587,86.1026,195.7508,125.3665756,0.221322212,0.416134698,0.439858228,0.640439659,0.8617107
BB_20210702_6a,7/2/2021,-121.6927116,48.85277279,1278.7,21.1794,32.6276,58.7518,54.1688,50.34084,0.390988909,0.60233197,1.084605899,0.929332752,0.9004535
BB_20210702_7a,7/2/2021,-121.6926616,48.85274636,1278.852,4.9418,73.2191,10.8654,31.7725,24.47168444,0.155537021,2.30448029,0.341974978,0.770215892,0.89724
BB_20210702_8a,7/2/2021,-121.6927847,48.85260387,1280.254,2.8638,23.2062,5.2479,14.0671,13.51556444,0.203581406,1.649679038,0.373061967,0.960792519,0.9287638
BB_20210702_9a,7/2/2021,-121.6928992,48.85270409,1279.683,0,0,0,1.7234,0,0,0,0,0,0.9305406
BB_20210730_1a,7/30/2021,-121.6955925,48.85366985,1276.593,0,0,0,0,2.566375556,0,0,0,0,0.9846817
BB_20210730_2a,7/30/2021,-121.6956406,48.85367183,1276.964,0,0,0,0,2.03532,0,0,0,0,1.000587
BB_20210730_3a,7/30/2021,-121.695576,48.85362681,1276.427,0,0,1.6757,0,2.255533333,0,0,0,0,0.9136308
BB_20210730_4a,7/30/2021,-121.6958064,48.85395831,1277.044,2.1156,4.6729,1.7477,4.6367,5.517724444,0.45627278,1.007807277,0.376927556,1.190011095,0.9286065
BB_20210730_5a,7/30/2021,-121.6960739,48.85370903,1278.841,1.7059,0,1.6998,0,1.563011111,0,0,0,0,0.9853128
BB_20210730_6a,7/30/2021,-121.6927049,48.85275786,1277.589,1.8571,0,1.5053,0,1.232511111,0,0,0,0,0.7119235
BB_20210730_7a,7/30/2021,-121.6926419,48.85276259,1277.479,30.5632,9.6036,7.645,19.6798,11.31068889,1.553023913,0.487992764,0.388469395,0.574735967,0.6997827
BB_20210730_8a,7/30/2021,-121.6926549,48.85275103,1277.666,1.9039,0,0,3.5387,1.16172,0.538022438,0,0,0.32829005,0.8211227
BB_20210730_9a,7/30/2021,-121.6926475,48.85277755,1277.561,3.8015,0,1.8568,4.5973,3.402491111,0.826898397,0,0.403889239,0.740106391,0.8687866
BB_20210730_10a,7/30/2021,-121.6926945,48.8527789,1277.495,1.9904,0,1.836,4.1276,2.562955556,0.482217269,0,0.444810544,0.620931184,0.8792613
